code,title
A48.51,(https://www.icd10data.com/ICD10CM/Codes/A00-B99/A30-A49/A48-/A48.51)  Infant botulism
B08.20,"(https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09/B08-/B08.20)  Exanthema subitum sixth disease, unspecified "
B08.21,(https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09/B08-/B08.21)  Exanthema subitum sixth disease due to human herpesvirus 6 
B08.22,(https://www.icd10data.com/ICD10CM/Codes/A00-B99/B00-B09/B08-/B08.22)  Exanthema subitum sixth disease  due to human herpesvirus 7 
C93.30,"(https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C93-/C93.30)  Juvenile myelomonocytic leukemia, not having achieved remission"
C93.31,"(https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C93-/C93.31)  Juvenile myelomonocytic leukemia, in remission"
C93.32,"(https://www.icd10data.com/ICD10CM/Codes/C00-D49/C81-C96/C93-/C93.32)  Juvenile myelomonocytic leukemia, in relapse"
E30.1,(https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E30-/E30.1)  Precocious puberty
E30.8,(https://www.icd10data.com/ICD10CM/Codes/E00-E89/E20-E35/E30-/E30.8)  Other disorders of puberty
F64.2,(https://www.icd10data.com/ICD10CM/Codes/F01-F99/F60-F69/F64-/F64.2)  Gender identity disorder of childhood
F84.3,(https://www.icd10data.com/ICD10CM/Codes/F01-F99/F80-F89/F84-/F84.3)  Other childhood disintegrative disorder
G93.7,(https://www.icd10data.com/ICD10CM/Codes/G00-G99/G89-G99/G93-/G93.7)  Reye's syndrome
H26.001,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.001)  Unspecified infantile and juvenile cataract, right eye"
H26.002,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.002)  Unspecified infantile and juvenile cataract, left eye"
H26.003,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.003)  Unspecified infantile and juvenile cataract, bilateral"
H26.009,"(https://www.icd10data.com/ICD10CM/Codes/H00-H59/H25-H28/H26-/H26.009)  Unspecified infantile and juvenile cataract, unspecified eye"
